year,city,country,avg_temp
1856,Maiduguri,Nigeria,28.03
1857,Maiduguri,Nigeria,27.28
1858,Maiduguri,Nigeria,27.7
1859,Maiduguri,Nigeria,27.72
1860,Maiduguri,Nigeria,27.29
1861,Maiduguri,Nigeria,27.12
1862,Maiduguri,Nigeria,26.96
1863,Maiduguri,Nigeria,
1864,Maiduguri,Nigeria,
1865,Maiduguri,Nigeria,
1866,Maiduguri,Nigeria,
1867,Maiduguri,Nigeria,
1868,Maiduguri,Nigeria,
1869,Maiduguri,Nigeria,
1870,Maiduguri,Nigeria,
1871,Maiduguri,Nigeria,
1872,Maiduguri,Nigeria,
1873,Maiduguri,Nigeria,28.49
1874,Maiduguri,Nigeria,27.4
1875,Maiduguri,Nigeria,27.37
1876,Maiduguri,Nigeria,27.29
1877,Maiduguri,Nigeria,27.84
1878,Maiduguri,Nigeria,28.03
1879,Maiduguri,Nigeria,27.35
1880,Maiduguri,Nigeria,27.43
1881,Maiduguri,Nigeria,27.82
1882,Maiduguri,Nigeria,27.62
1883,Maiduguri,Nigeria,28.5
1884,Maiduguri,Nigeria,28.13
1885,Maiduguri,Nigeria,24.43
1886,Maiduguri,Nigeria,27.15
1887,Maiduguri,Nigeria,26.93
1888,Maiduguri,Nigeria,27.21
1889,Maiduguri,Nigeria,27.48
1890,Maiduguri,Nigeria,26.63
1891,Maiduguri,Nigeria,27.13
1892,Maiduguri,Nigeria,27.35
1893,Maiduguri,Nigeria,27.16
1894,Maiduguri,Nigeria,27.49
1895,Maiduguri,Nigeria,27.62
1896,Maiduguri,Nigeria,27.47
1897,Maiduguri,Nigeria,27.82
1898,Maiduguri,Nigeria,27.46
1899,Maiduguri,Nigeria,27.68
1900,Maiduguri,Nigeria,27.79
1901,Maiduguri,Nigeria,28.03
1902,Maiduguri,Nigeria,27.54
1903,Maiduguri,Nigeria,27.45
1904,Maiduguri,Nigeria,26.97
1905,Maiduguri,Nigeria,27.56
1906,Maiduguri,Nigeria,27.58
1907,Maiduguri,Nigeria,27.21
1908,Maiduguri,Nigeria,27.56
1909,Maiduguri,Nigeria,27.56
1910,Maiduguri,Nigeria,26.69
1911,Maiduguri,Nigeria,27.4
1912,Maiduguri,Nigeria,27.49
1913,Maiduguri,Nigeria,27.96
1914,Maiduguri,Nigeria,28.78
1915,Maiduguri,Nigeria,28.42
1916,Maiduguri,Nigeria,27.59
1917,Maiduguri,Nigeria,28.25
1918,Maiduguri,Nigeria,27.93
1919,Maiduguri,Nigeria,28.48
1920,Maiduguri,Nigeria,27.2
1921,Maiduguri,Nigeria,27.89
1922,Maiduguri,Nigeria,28.11
1923,Maiduguri,Nigeria,27.86
1924,Maiduguri,Nigeria,28.17
1925,Maiduguri,Nigeria,28.11
1926,Maiduguri,Nigeria,28.37
1927,Maiduguri,Nigeria,28
1928,Maiduguri,Nigeria,28.44
1929,Maiduguri,Nigeria,27.79
1930,Maiduguri,Nigeria,28.15
1931,Maiduguri,Nigeria,29.08
1932,Maiduguri,Nigeria,28.37
1933,Maiduguri,Nigeria,28.88
1934,Maiduguri,Nigeria,27.77
1935,Maiduguri,Nigeria,28.23
1936,Maiduguri,Nigeria,28.36
1937,Maiduguri,Nigeria,28.05
1938,Maiduguri,Nigeria,28.42
1939,Maiduguri,Nigeria,28.12
1940,Maiduguri,Nigeria,28.47
1941,Maiduguri,Nigeria,28.95
1942,Maiduguri,Nigeria,28.96
1943,Maiduguri,Nigeria,28.11
1944,Maiduguri,Nigeria,28.16
1945,Maiduguri,Nigeria,27.97
1946,Maiduguri,Nigeria,28.01
1947,Maiduguri,Nigeria,28.28
1948,Maiduguri,Nigeria,27.86
1949,Maiduguri,Nigeria,28.11
1950,Maiduguri,Nigeria,27.75
1951,Maiduguri,Nigeria,27.81
1952,Maiduguri,Nigeria,28.14
1953,Maiduguri,Nigeria,27.93
1954,Maiduguri,Nigeria,28.07
1955,Maiduguri,Nigeria,27.6
1956,Maiduguri,Nigeria,27.93
1957,Maiduguri,Nigeria,27.8
1958,Maiduguri,Nigeria,28.34
1959,Maiduguri,Nigeria,27.86
1960,Maiduguri,Nigeria,28.12
1961,Maiduguri,Nigeria,27.28
1962,Maiduguri,Nigeria,28.09
1963,Maiduguri,Nigeria,28.33
1964,Maiduguri,Nigeria,27.81
1965,Maiduguri,Nigeria,27.77
1966,Maiduguri,Nigeria,27.91
1967,Maiduguri,Nigeria,27.83
1968,Maiduguri,Nigeria,27.93
1969,Maiduguri,Nigeria,28.79
1970,Maiduguri,Nigeria,28.15
1971,Maiduguri,Nigeria,27.98
1972,Maiduguri,Nigeria,28.24
1973,Maiduguri,Nigeria,28.97
1974,Maiduguri,Nigeria,27.87
1975,Maiduguri,Nigeria,27.86
1976,Maiduguri,Nigeria,28.36
1977,Maiduguri,Nigeria,27.77
1978,Maiduguri,Nigeria,27.98
1979,Maiduguri,Nigeria,28.42
1980,Maiduguri,Nigeria,28.33
1981,Maiduguri,Nigeria,28.09
1982,Maiduguri,Nigeria,28.14
1983,Maiduguri,Nigeria,28.14
1984,Maiduguri,Nigeria,28.5
1985,Maiduguri,Nigeria,28.33
1986,Maiduguri,Nigeria,28.73
1987,Maiduguri,Nigeria,28.77
1988,Maiduguri,Nigeria,28.19
1989,Maiduguri,Nigeria,27.29
1990,Maiduguri,Nigeria,28.74
1991,Maiduguri,Nigeria,28.37
1992,Maiduguri,Nigeria,27.87
1993,Maiduguri,Nigeria,28.54
1994,Maiduguri,Nigeria,28.04
1995,Maiduguri,Nigeria,28.28
1996,Maiduguri,Nigeria,28.44
1997,Maiduguri,Nigeria,28.43
1998,Maiduguri,Nigeria,28.73
1999,Maiduguri,Nigeria,28.57
2000,Maiduguri,Nigeria,28.5
2001,Maiduguri,Nigeria,28.3
2002,Maiduguri,Nigeria,28.72
2003,Maiduguri,Nigeria,28.55
2004,Maiduguri,Nigeria,28.88
2005,Maiduguri,Nigeria,29.04
2006,Maiduguri,Nigeria,29.06
2007,Maiduguri,Nigeria,28.79
2008,Maiduguri,Nigeria,28.51
2009,Maiduguri,Nigeria,29.29
2010,Maiduguri,Nigeria,29.39
2011,Maiduguri,Nigeria,28.84
2012,Maiduguri,Nigeria,28.57
2013,Maiduguri,Nigeria,29.71
